"higherClassificationName","higherClassificationRank","identificationID","scientificName","taxonID","taxonRank","taxonRemarks","taxonSortOrder"
"Animalia","dwc:kingdom","c6038eb6ef93da8230ac1e4fcf785406","Psilopogon rafflesii (R. Lesson, 1839)","https://www.catalogueoflife.org/data/taxon/7WP6N","SPECIES","",""
"Animalia","dwc:kingdom","c7f5f9f53d67f7b9b491eab29792e34f","Podiceps grisegena grisegena (Boddaert, 1783)","https://www.catalogueoflife.org/data/taxon/BNWCC","SUBSPECIES","",""
"Animalia","dwc:kingdom","5b86bd3aa7bb4fd4f24803f42e24b37f","Hylomanes momotula M. H. K. Lichtenstein, 1839","https://www.catalogueoflife.org/data/taxon/3NGC2","SPECIES","",""
"Animalia","dwc:kingdom","833ee7da8c8ca528dc5f6b893acd3afb","Cinnyris erythrocercus (Hartlaub, 1857)","https://www.catalogueoflife.org/data/taxon/5Z6TH","SPECIES","",""
"Animalia","dwc:kingdom","dd469eb847b397799ee1d7a7da993240","Anser anser (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/679X7","SPECIES","",""
"Animalia","dwc:kingdom","91c75c12bf5b224c68f95bde8a58139b","Rallus aquaticus aquaticus Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/BNYGX","SUBSPECIES","",""
"Animalia","dwc:kingdom","59ebfef4980265785309f5695b325411","Acanthiza chrysorrhoa (Quoy & Gaimard, 1830)","https://www.catalogueoflife.org/data/taxon/64D32","SPECIES","",""
"Animalia","dwc:kingdom","c65d33f7f8fb51301818389b0952a357","Regulus regulus regulus (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BNYNL","SUBSPECIES","",""
"Animalia","dwc:kingdom","481aa32728e5247a1c04c85ed42325e4","Galbula ruficauda ruficauda Cuvier, 1816","https://www.catalogueoflife.org/data/taxon/BNG5K","SUBSPECIES","",""
"Animalia","dwc:kingdom","4f219f40a2ee4e3a02239dc29db677dd","Glaucidium perlatum (Vieillot, 1817)","https://www.catalogueoflife.org/data/taxon/3G64D","SPECIES","",""
"Animalia","dwc:kingdom","a02ae4455b1db475cf58a21d953fb982","Amaurornis phoenicurus (Pennant, 1769)","https://www.catalogueoflife.org/data/taxon/65YPD","SPECIES","",""
"Animalia","dwc:kingdom","2b83ea66e73deba4aafa8024e24593d7","Grandala coelicolor Hodgson, 1843","https://www.catalogueoflife.org/data/taxon/3H7MZ","SPECIES","",""
"Animalia","dwc:kingdom","d1e202fea4aa67e07635728e163566dd","Ptilinopus pulchellus (Temminck, 1835)","https://www.catalogueoflife.org/data/taxon/4Q7P7","SPECIES","",""
"Animalia","dwc:kingdom","6502b225189d47556455bda13b6196b8","Psarisomus dalhousiae psittacinus (S. Muller, 1836)","https://www.catalogueoflife.org/data/taxon/BNXJ9","SUBSPECIES","",""
"Animalia","dwc:kingdom","280136fcb6cae0a870649a1dbe2174ab","Progne subis subis (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BNXBN","SUBSPECIES","",""
"Animalia","dwc:kingdom","92bb70e31a73bb3385adb84a0a2345c6","Pluvialis apricaria (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/4KKPV","SPECIES","",""
"Animalia","dwc:kingdom","f02bb36b5670b4a0f6316be531158bb1","Ploceus philippinus infortunatus Hartert, 1902","https://www.catalogueoflife.org/data/taxon/BNW9F","SUBSPECIES","",""
"Animalia","dwc:kingdom","b743228b7e96c618b6e14e7c5412457c","Setophaga americana (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/4X3BD","SPECIES","",""
"Animalia","dwc:kingdom","6be1f7430de20ab7412545a2b33355e0","Bolborhynchus orbygnesius (Souancé, 1856)","https://www.catalogueoflife.org/data/taxon/MBNX","SPECIES","",""
"Animalia","dwc:kingdom","0bd800c9569a914120fe2b1197ceaf6e","Turdus pilaris Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/59PMS","SPECIES","",""
"Animalia","dwc:kingdom","50e293fbcb89ba2c65ef893ff2198114","Prunella modularis modularis (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BNXGG","SUBSPECIES","",""
"Animalia","dwc:kingdom","a035bc4dacac8f1e8cb47fcd0c2f2fbd","Arachnothera modesta concolor Snelleman, 1882","https://www.catalogueoflife.org/data/taxon/BN2G7","SUBSPECIES","",""
"Animalia","dwc:kingdom","f9fc5a9e75a65e5f2a1452568a79e0e8","Platysteira peltata peltata Sundevall, 1850","https://www.catalogueoflife.org/data/taxon/BNW5Y","SUBSPECIES","",""
"Animalia","dwc:kingdom","0d26123e031c8dad26810c6b7c53ffe2","Lorius garrulus (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/6QNYV","SPECIES","",""
"Animalia","dwc:kingdom","9eb088164285d30970b93e22dfcb8e4c","Parus Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/6J9Z","GENUS","",""
"Animalia","dwc:kingdom","523b15e856ee4b9b327d51a0a5e11d23","Podiceps cristatus cristatus (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BNWC9","SUBSPECIES","",""
"Animalia","dwc:kingdom","cfb06a2fc91bde8cc92c399c6c05f57c","Phaethornis guy guy (R. Lesson, 1833)","https://www.catalogueoflife.org/data/taxon/BNTN2","SUBSPECIES","",""
"Animalia","dwc:kingdom","fa308fae7fa3d4fa35640664980476e8","Melanerpes erythrocephalus (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/739DW","SPECIES","",""
"Animalia","dwc:kingdom","280539b13bff6fd8670327a796b76eea","Eremophila alpestris longirostris (Moore, 1856)","https://www.catalogueoflife.org/data/taxon/BNDLQ","SUBSPECIES","",""
"Animalia","dwc:kingdom","73450f72c6fbf9108186b4141b689bb9","Pitta erythrogaster erythrogaster Temminck, 1823","https://www.catalogueoflife.org/data/taxon/5KGTY","SUBSPECIES","",""
"Animalia","dwc:kingdom","101219f1d2605443bdf9f335dcadf019","Recurvirostra avosetta Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/4RP59","SPECIES","",""
"Animalia","dwc:kingdom","2f5b70185b7d1df3b092cff443e6aba1","Ocyphaps lophotes (Temminck, 1822)","https://www.catalogueoflife.org/data/taxon/74HFL","SPECIES","",""
"Animalia","dwc:kingdom","3d02c86e7f41d3019720dbf5efb5d202","Botaurus stellaris stellaris (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/BN3YG","SUBSPECIES","",""
