"uid","domainID","siteID","namedLocation","passStartTime","passEndTime","eventID","passNumber","specimenNumber","taxonID","scientificName","taxonRank","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","fishTotalLength","fishWeight","delt","efMortality","efInjury","fishLifeStage","sampleTypeCollected","voucherSampleID","dnaSampleID","identifiedBy","remarks","publicationDate","release"
"c53eac90-a840-474b-b79a-3ea8d22e915c","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,3,"SALTRU","Salmo trutta","species",NA,NA,NA,144,30,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"212d4c5c-94c7-4ee2-a79a-3996c1a98933","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,18,"SALTRU","Salmo trutta","species",NA,NA,NA,112,15,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"81ae9e4c-84ab-44d6-a2f4-0b11b3248429","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,15,"SALTRU","Salmo trutta","species",NA,NA,NA,126,19,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"f38e5199-074b-4113-88c4-fa7644e92c90","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,23,"SALTRU","Salmo trutta","species",NA,NA,NA,210,86,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"1f55d040-caf9-420d-8efd-8473eff2a736","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,1,"SALTRU","Salmo trutta","species",NA,NA,NA,121,20,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"241fa988-9749-4ec1-8485-33659c4b4b59","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,21,"SALTRU","Salmo trutta","species",NA,NA,NA,215,92,NA,NA,NA,"adult","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"a7a88f6b-0925-4f9d-839e-b8f5564ed132","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,25,"SALTRU","Salmo trutta","species",NA,NA,NA,105,11,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"c2954040-4df4-4382-8fdf-31629d564b90","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,17,"SALTRU","Salmo trutta","species",NA,NA,NA,145,29,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"08adc40a-78ea-4cab-8d6b-f7a5d53e83c0","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,9,"SALTRU","Salmo trutta","species",NA,NA,NA,95,8,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
"c63035ec-ccca-459a-b2db-50cb0e5d5c42","D17","BIGC","BIGC.AOS.fish.point.04",2019-04-23 17:21:00,2019-04-23 19:35:00,"BIGC.20190423.04.1.e-fisher",1,22,"SALSP2","Salmonidae sp.","family",NA,NA,NA,92,8,NA,NA,NA,"juvenile","no sample",NA,NA,"0000-0001-7072-0706",NA,"20231227T174945Z","RELEASE-2024"
