assertion_id	event_id	assertion_type	assertion_type_iri	assertion_type_vocabulary	assertion_made_date	assertion_effective_date	assertion_value	assertion_value_iri	assertion_value_vocabulary	assertion_value_numeric	assertion_unit	assertion_unit_iri	assertion_unit_vocabulary	assertion_by	assertion_by_id	assertion_protocol	assertion_protocol_id	assertion_citation	assertion_remarks
e55bd659-2a53-4731-98a4-5186ce6cc117	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
90df6ae5-37bd-46e6-ba80-1bff74430437	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
e324bbf3-8065-4d8b-8254-fd01f8122884	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
2638ed9e-6732-44fc-8978-161b9a766074	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
01e083ea-0c0d-45aa-9850-00af98ae0df2	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
6c1cbb59-d6c8-41ba-afe8-c40775d5158f	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
364b7062-be20-4693-83d3-54be473a0634	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
aff30e62-d365-4559-abed-383eb95c44fd	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
7c43e310-3d17-410b-ad75-1bf70dc4da53	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
2852c9c2-5025-4b70-bc88-1a80d66865ed	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
096fac1a-9031-42b2-968e-f1e3e2eb5048	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
9b52c961-5c34-4b21-9d12-0d3200440451	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
085310d9-b2f0-4a38-b08d-efd647b2a094	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
f56cf774-3a85-4603-ad61-4746c558fa5b	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
45c8581e-64bc-48b2-9ca6-ba64b2971e25	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
a89df5e0-eaf8-4c58-a9a9-9b45ad0a9a8d	BIGC.20191024.09.1.e-fisher	Number of the sampling pass within a reach								1									
03365e76-8a79-4062-ab53-6e5746579841	BIGC.20190422.01.1.e-fisher	Temperature of water (C)								8.9	celsius								
0f177108-ec10-4a87-85e3-42aa61489de2	BIGC.20190422.01.2.e-fisher	Temperature of water (C)								11.7	celsius								
22f9c5e7-5aa0-4c7f-aa8d-bcbcf2aa30be	BIGC.20190422.01.3.e-fisher	Temperature of water (C)								11.8	celsius								
fbc0dca2-cb6d-4158-a22b-f4844af0b9ad	BIGC.20190423.04.1.e-fisher	Temperature of water (C)								9.2	celsius								
0ef346dd-d122-4d69-a387-bebab71634b7	BIGC.20190423.04.2.e-fisher	Temperature of water (C)								12.3	celsius								
7186abda-4bf2-4a63-a02e-6eca7d7c2353	BIGC.20190423.04.3.e-fisher	Temperature of water (C)								12.2	celsius								
4a5984a4-1134-4411-9ac5-e2e2e6cf24c1	BIGC.20190424.05.1.e-fisher	Temperature of water (C)								9.8	celsius								
9f3b1048-271b-4e4d-b8c5-47fd2701fd17	BIGC.20190424.07.1.e-fisher	Temperature of water (C)								13.4	celsius								
25fcd1d8-7984-4d73-829e-ae2dccd25d4d	BIGC.20190424.07.2.e-fisher	Temperature of water (C)								13.3	celsius								
7946b345-7296-416a-933e-61c2d6d88b10	BIGC.20190424.07.3.e-fisher	Temperature of water (C)								13	celsius								
e7efdad2-59e6-4698-8580-4f7193a5aa9f	BIGC.20190425.08.1.e-fisher	Temperature of water (C)								10.4	celsius								
94ef2119-2553-489c-8975-4151beaa9836	BIGC.20190425.09.1.e-fisher	Temperature of water (C)								13.6	celsius								
15bea66d-4728-4911-9089-5c2e3d11d893	BIGC.20191021.01.1.e-fisher	Temperature of water (C)								8.7	celsius								
b16d990f-ed42-4060-afac-c1b3183e769a	BIGC.20191021.01.2.e-fisher	Temperature of water (C)								8.7	celsius								
4ef4b79d-06b0-4ffc-a7be-c4fe0c9d94ae	BIGC.20191021.01.3.e-fisher	Temperature of water (C)								8.7	celsius								
89442c59-4166-4a69-9d1d-7fe41a8c5239	BIGC.20191022.04.1.e-fisher	Temperature of water (C)								9.3	celsius								
d17868a1-d013-461d-8116-d0189e4514af	BIGC.20191022.04.2.e-fisher	Temperature of water (C)								9.3	celsius								
b958cdd4-8061-4bb7-9eb0-dfb049e3f926	BIGC.20191022.04.3.e-fisher	Temperature of water (C)								9.3	celsius								
0f5f4160-187d-47db-9d96-93e37c2abc2c	BIGC.20191023.05.1.e-fisher	Temperature of water (C)								9.7	celsius								
aa736a1c-1e6c-44d7-851f-3ad313e95c00	BIGC.20191023.07.1.e-fisher	Temperature of water (C)								10.8	celsius								
595bc7a3-0ef9-4259-a43c-c0d52946ed3c	BIGC.20191023.07.2.e-fisher	Temperature of water (C)								10.8	celsius								
5266a3b0-65e8-4cd8-8b63-9afb7e9ba5b8	BIGC.20191023.07.3.e-fisher	Temperature of water (C)								10.8	celsius								
701e91d9-eb0e-4f07-8e36-f6f37774ac2b	BIGC.20191024.08.1.e-fisher	Temperature of water (C)								9.8	celsius								
77673278-e2a3-4ca1-8e2a-d0983a6eab17	BIGC.20191024.09.1.e-fisher	Temperature of water (C)								10.6	celsius								
c0f79543-a693-413d-9b62-8f7f3c1012f0	BIGC.20190422.01.1.e-fisher	Dissolved Oxygen Concentration								10.3	milligramsPerLiter								
67f98f5d-cfeb-48c8-a3e4-41977f81b3b9	BIGC.20190422.01.2.e-fisher	Dissolved Oxygen Concentration								9.1	milligramsPerLiter								
2b00b0b2-f1c4-4bb2-9687-23e52819b455	BIGC.20190422.01.3.e-fisher	Dissolved Oxygen Concentration								9.5	milligramsPerLiter								
c2ffe486-2898-4a11-806c-05c1e98beda6	BIGC.20190423.04.1.e-fisher	Dissolved Oxygen Concentration								9.6	milligramsPerLiter								
55402bb8-1ba9-45fb-959d-403b60b83b4d	BIGC.20190423.04.2.e-fisher	Dissolved Oxygen Concentration								9.1	milligramsPerLiter								
514836ca-5eb6-499d-b24d-cbea373f5aa5	BIGC.20190423.04.3.e-fisher	Dissolved Oxygen Concentration								9	milligramsPerLiter								
d44f95ef-4fce-454a-bbd9-542bf60261b7	BIGC.20190424.05.1.e-fisher	Dissolved Oxygen Concentration								10.3	milligramsPerLiter								
