tblUploadID,tblHaulID,Ship,Gear,HaulNo,StationNumber,Year,Month,Day,Time,ShootLat,ShootLong,HaulLat,HaulLong,ICESrectangle,Depth,Survey,ICESDatabase,Notes
8440,16444,"AA36","EGY",1438,"15",1981,8,27,"1050",53.75,6.5,,,"36F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16445,"AA36","EGY",1558,"15",1981,8,27,"1050",53.75,6.5,,,"36F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16446,"AA36","EGY",1668,"15",1981,8,27,"1050",53.75,6.5,,,"36F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16447,"AA36","EGY",1302,"12",1981,8,27,"1200",54.75,5.5,,,"38F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16448,"AA36","EGY",1300,"13",1981,8,27,"1200",54.25,5.5,,,"37F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16449,"AA36","EGY",1299,"14",1981,8,27,"1200",53.75,5.5,,,"36F5",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16450,"AA36","EGY",1351,"15",1981,8,27,"1200",53.75,6.5,,,"36F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16451,"AA36","EGY",1303,"16",1981,8,27,"1200",54.25,6.5,,,"37F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16452,"AA36","EGY",1304,"17",1981,8,27,"1200",54.75,6.5,,,"38F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16453,"AA36","EGY",1303,"16",1981,8,27,"1600",54.25,6.5,,,"37F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16454,"AA36","EGY",1352,"16",1981,8,27,"1600",54.25,6.5,,,"37F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16455,"AA36","EGY",1439,"16",1981,8,27,"1600",54.25,6.5,,,"37F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16456,"AA36","EGY",1559,"16",1981,8,27,"1600",54.25,6.5,,,"37F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16457,"AA36","EGY",1669,"16",1981,8,27,"1600",54.25,6.5,,,"37F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16458,"AA36","EGY",1304,"17",1981,8,27,"2045",54.75,6.5,,,"38F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16459,"AA36","EGY",1353,"17",1981,8,27,"2045",54.75,6.5,,,"38F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16460,"AA36","EGY",1440,"17",1981,8,27,"2045",54.75,6.5,,,"38F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16461,"AA36","EGY",1560,"17",1981,8,27,"2045",54.75,6.5,,,"38F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16462,"AA36","EGY",1670,"17",1981,8,27,"2045",54.75,6.5,,,"38F6",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16463,"AA36","EGY",1447,"18",1981,8,28,"0025",54.75,7.5,,,"38F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16464,"AA36","EGY",1567,"18",1981,8,28,"0025",54.75,7.5,,,"38F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16465,"AA36","EGY",1676,"18",1981,8,28,"0025",54.75,7.5,,,"38F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
8440,16466,"AA36","EGY",1356,"19",1981,8,28,"0425",54.25,7.5,,,"37F7",,"STOMACH","N","country=NL; quar=3; source file NL: Excwhidatsto_815"
